,story,query,target
0,"[Queenie] and her son [Mack] went out to lunch together yesterday. [Mack] loves talking to his grandfather [Eben] on the phone. [Eben] took his sister, [Hilma], to a baseball game. [Cecelia] 'father [Eben] became enraged when she failed to complete her homework. [Cecelia] was grounded for a month and unable to spend time with friends.","('Queenie', 'Hilma')",aunt
1,"[Elwood] invited his father [Beverly] and his brother [Esau] to go on a weekend fishing trip. [Madge] picked her son [Irwin] up from school and dropped him off at her husband, [Esau]'s office.","('Beverly', 'Madge')",daughter-in-law
2,"[Rosalee] was playing with her sister [Sudie] and her brother [Verne] outside when her grandmother [Manie] asked her to come inside and help her wash the dishes. [Rosalee] was excited to visit her son, [Alf], at college.","('Verne', 'Manie')",grandmother
3,"[Lidie], who is the sister of [Lily], is a lovely girl. [Isabella], who is the sister of [Lidie], is a lovely girl. [Estie] and her daughter [Isabella] went to see a movie yesterday and then got ice cream afterwards. [Lily] spent a great day shopping with her daughter, [Roxie].","('Lily', 'Estie')",mother
4,"[Merle] and her son [Royal] went to pick up his brother [Charles] from school. [Merle] wanted her sister, [Reta], to go the same college she attends. [Reta] chose to attend college with her brother, [Charles], instead.","('Charles', 'Reta')",aunt
5,"[Margeret] wanted to visit an art museum, so she asked her father, [Hampton] to take her. [Margeret] decided to give her uncle, [Josh], a call on his birthday. [Lucian] invited his father [Josh] and his brother [Hampton] to go on a weekend fishing trip.","('Hampton', 'Lucian')",nephew
6,"[Leda] spent a great day shopping with her daughter, [Celia]. [Celia] and her aunt, [Fern], went to the deli. They got a half a pound of corned beef, and two pounds of salami. [Fern] and her Grandfather [Ethel] enjoyed feeding the ducks at the park [Fern] took her granddaughter [Helena] to the cinema.","('Leda', 'Ethel')",grandfather
7,"[Lewis] and his brothers [Turner] and [Earl] were on the lake fishing. Soon, [Earl]'s mother [May] came to the shore and told them to come inside for dinner. [Sallie] enjoys playing cards with her brother. His name is [Earl].","('Lewis', 'May')",mother
8,"[Ula] spent a great day shopping with her daughter, [Kittie]. [Kittie] went to her aunt [Fern]'s house for dinner. [Fern] made meatloaf, and it was delicious. [Octavia] had a daughter named [Fern]. [Kittie] wanted to visit an art museum, so she asked her father, [Christian] to take her.","('Ula', 'Octavia')",mother
9,"[Marion] and his sister, [Agnes] love it when their grandmother visits because she spoils them. She is coming this week to watch them while their parents are out of town. [Marion]'s brother [Lucius] would not let him play the xbox game. [Lucius] loves visiting his grandmother [Prudence] in Florida. [Soloman] wanted to go to his grandfather [Marion] 'house because he always has a good time when he is there.","('Agnes', 'Prudence')",grandmother
10,"[Queenie] went with her mother [Bird] to pick out a gift for [Bird]'s mother, [Corine]. [Lou] and her sister, [Queenie], frequently bicker. However, they always make up quickly. [Corine] and her husband [Eben] danced together at the party.","('Corine', 'Lou')",granddaughter
11,[Bob] and his wife [Grace] went to the beach to watch the fireworks on the 4th of July. [Bob] enjoyed talking to his granddaughter [Susanna] when she came over to visit. [Emeline]'s sister [Susanna] was trying on new make-up that [Emeline]'s daughter [Emeline] bought for her as a gift.,"('Grace', 'Emeline')",granddaughter
12,"[Rosalee] and her son [Winfred] went out to lunch together yesterday. [Alf] took his nephew [Winfred] to the football game. [Lily]'s son [Alf] is turning nine today, so she is throwing him a party. [Rosalee] and [Ivory] are siblings who are enjoying lunch together.","('Rosalee', 'Lily')",mother
13,"[Wade] would n't let his son [Hattie] go to the park by himself. [Hattie]'s brother [Pearl] offered to go with him. [Pearl]'s wife, [Elizabeth], surprised him on his birthday. He could n't believe she pulled it off. [Nola], a female, took her husband who is a male, [Wade], out for lunch.","('Wade', 'Elizabeth')",daughter-in-law
14,"[Reta], who is the sister of [Merle], is a lovely girl. [Reta] went to her brother [Alma]'s birthday party [Alma] and his brother [Hampton] went to a basketball game. [Hampton]'s sister [Merle] decided to tag along with them.","('Merle', 'Hampton')",brother
15,"[Lee] spent a great day shopping with her daughter, [Queen]. [Queen] went over to her uncle [Hampton]'s house for dinner. [Hampton] is proud that his daughter is such a good student. Her name is [Rosie]. [Dennis] took his daughter [Queen] to cheer practice.","('Lee', 'Rosie')",neice
16,"[Ida] asked her daughter, [Dorcas], if she had fun at school that day. [Dorcas] answered that she and her sister, [Leda], had lots of fun together. [Fern] and her siblings [Leda] and [Roscoe] went on a business trip to Asia","('Ida', 'Roscoe')",son
17,[Helena] and her husband [Ethel] danced together at the party. [Helena] and her grandson [Lewis] went to the store to buy a birthday present for [Lewis]'s sister [Elinor]. [Ethel] is very much in love with his wife. Her name is [Rosa].,"('Ethel', 'Elinor')",granddaughter
18,"[Ula] told a secret to her sister, [Sallie]. [Sallie] passed it along to her brother, [Edwin]. [Ula] was excited to play Dress up with her sister [Kittie]. [Kittie] was on her way back from her grandmother [Fern]'s house.","('Edwin', 'Kittie')",sister
19,"[Dewitt]'s daughter, [Meta], made a dinner for her sister, [Agnes]. [Agnes] wanted her sister, [Susan], to go the same college she attends. [Susan] chose to attend college with her brother, [Lucius], instead.","('Dewitt', 'Susan')",daughter
20,[Oma] received some beautiful roses from her husband [Walton]. [Walton] bought a new dress for his daughter [Dinah]. [Dinah] loves to visit her grandfather [Waldo]. [Oma] became concerned when she had n't heard from her husband [Eddie] all day.,"('Oma', 'Waldo')",father
21,"[Enos] took his daughter [Mandy] to cheer practice. [Mandy] wanted her sister, [Althea], to go the same college she attends. [Althea] chose to attend college with her brother, [Tony], instead. [Parker] took his sister [Mandy] out to lunch after learning that she got accepted into her first choice for university.","('Enos', 'Tony')",son
22,[Martina] went shoe shopping with her sister [Liller]. [Martina] 'father [Jonah] became enraged when she failed to complete her homework. [Martina] was grounded for a month and unable to spend time with friends. [Jonah] and his sister [Lillis] went out for ice cream. [Leonora] went to her brother [Jonah]'s birthday party,"('Liller', 'Lillis')",aunt
23,"[Ione] and her mother [Loren] made breakfast together. [Ione] had picked her daughter [Guadalupe] out the cutest new dress to wear on her birthday. [Alvena] took her sister, [Guadalupe], out to dinner for her birthday. [Flem] and his grandson [Loren] are seeing the new movie together.","('Loren', 'Alvena')",granddaughter
24,"[Edna] went to her son [Rutherford]'s House [Rutherford] likes to spend time with his aunt, [Cecil], who was excellent at cooking chicken. [Cecil] vowed to never trust her father, [Harris] with her debit card again. [Ross] and his son [Rutherford] went to the cinema together.","('Edna', 'Harris')",father
25,[Rafe] was excited to reveal the elaborate getaway he had planned for his wife [Lavenia]. [Zona]'s mother [Lavenia] was teaching her how to teach when [Zona]'s husband [Darius] arrived home. [Dallas] invited his sister [Zona] to dinner this Friday because it is her birthday.,"('Rafe', 'Darius')",son-in-law
26,[Asa] bought a steak dinner for himself and his brother [Noel]. [Hervey] and his brother [Noel] always played pranks on each other [Patty] took her son [Hervey] to school because he missed the bus. [Noel] played chess with his brother [Nellie].,"('Asa', 'Patty')",mother
27,[Augustin] took his daughter [Aurora] out for dinner. [Maurice] was playing checkers with his brother [Abe]. [Maurice]'s sister [Aurora] was waiting to play. [Augustin] went to lunch with his wife [Myrta].,"('Augustin', 'Abe')",son
28,"[Arminta] asked her daughter, [Birdie], if she would like to go to a movie with her on Saturday night. [Emmet]'s son, [Gregorio], was mowing the lawn. [Emmet]'s sister, [Birdie], asked [Gregorio] if he wanted some lemonade. [Claus] walked his daughter [Birdie] down the aisle on her wedding day.","('Arminta', 'Gregorio')",grandson
29,"[Cordella] asked her daughter, [Venie], if she would like to go to a movie with her on Saturday night. [Venie] went over to her uncle [Newton]'s house for dinner. [Newton] stayed up late on the weekend listening to stories of his grandfather [Owen]'s youth. [Cordella] took her sister, [Viola], out to dinner for her birthday.","('Cordella', 'Owen')",grandfather
30,"[Easter], a female, took her husband who is a male, [Simon], out for lunch. [Simon] enjoys picking flowers with his son's daughter. Her name is [Loretta]. [Loretta] and her brother [Merle] went to see a movie. [Easter] and [Ferdinand] are married.","('Easter', 'Merle')",grandson
31,"[Alta], who is the sister of [Letty], is a lovely girl. [Nellie] and [Clemente] did the Father daughter dance at the recital and his wife [Alta] was so happy she cried [Letty]'s son, [Dell], had to stay home from school with a cold.","('Letty', 'Nellie')",neice
32,"[Frank] planned a trip to the zoo for her brother, [Burr]. They had a great time. [Jewell] and her sisters [Lyda] went to the spa. [Frank], another sister of [Jewell], had to babysit and could n't join them. [Lyda] planned a trip to the zoo for her brother, [Loyd]. They had a great time.","('Burr', 'Lyda')",sister
33,"[Alvia] sat around the dinner table asking his grandfather [Friend] about his time in the war. Having a hard time remembering facts, [Friend] enlisted the help of his wife [Lucretia]. [Christine] asked her brother, [Alvia], if he could pick up her daughter, [Lucretia], from school.","('Lucretia', 'Christine')",granddaughter
34,[Abner] was excited to reveal the elaborate getaway he had planned for his wife [Ossie]. [Emelie] made a pizza for her son [Francis]. [Francis]'s sister [Ossie] tried a piece and liked it. [Francis] wanted to go to his grandfather [Aaron] 'house because he always has a good time when he is there.,"('Abner', 'Emelie')",mother-in-law
35,"[Vance] was filled with pride and joy to see his daughter [Viva] perform in her first ballet recital. [Viva] loves cooking for her son. His name is [Reginald] [Reginald] and his uncle [Arlie] went to the movies Sunday after church and got popcorn and candy while they were there. [Price] was disappointed that his father, [Vance], would n't be at the play to see him perform.","('Vance', 'Arlie')",son
36,"[Pedro] asked his brother [Hollie] if he would come help him fix his car next weekend. [Edd] and his brother, [Hollie], were playing cars. [Pedro] came up and asked if they'd seen his sister [Marion]. [Edd], [Marion]'s brother, said she had gone home.","('Hollie', 'Edd')",brother
37,"[Calla] is visiting her daughter, [Elmira]. [Phyllis] want's her mother, [Elmira], to take her to the zoo. [Ettie] went to the salon with her sister [Phyllis] and her grandmother [Calla].","('Calla', 'Ettie')",granddaughter
