,story,query,target
0,[Emmet] went to the Farmer's market with his mother [Birdie] and his brother [Gregorio]. [Gregorio] and his sister [Cherry] went out for ice cream. [Erie] was excited to reveal the elaborate getaway he had planned for his wife [Venie].,"('Birdie', 'Cherry')",daughter
1,"[Newton] drove his daughter [Bertie] to soccer practice. [Julius] likes to visit his sister. Her name is [Bertie]. [Easter] and [Julius] are siblings who are enjoying lunch together. [Preston] and his sister, [Mable] love it when their grandmother visits because she spoils them. She is coming this week to watch them while their parents are out of town.","('Newton', 'Easter')",daughter
2,"[Ferdinand] took his son [Archie], his sister [Dixie] and his mother [Guadalupe] to Disney Land. [Noble] and his son [Winfield] went to the cinema together.","('Dixie', 'Guadalupe')",mother
3,"[Claud]'s grandfather, [Clemente], went out to get groceries. In the mean time, [Claud]'s mother, [Letty], cooked up some vegetables. [Clemente] played basketball with his brother [Erasmus]. [Dell] wanted to go to his grandfather [Burr] 'house because he always has a good time when he is there.","('Letty', 'Erasmus')",uncle
4,"[Finis]'s wife is [Frank]. They went to pick up [Finis]'s son, [Porter], from school together. [Porter] stayed up late on the weekend listening to stories of his grandfather [Loyd]'s youth. [Dosha]'s son [Chauncey] is turning nine today, so she is throwing him a party.","('Frank', 'Loyd')",father-in-law
5,"[Alvia] took his son [Sylvester] to the park to feed the squirrels. [Sylvester] bought a new dress for his daughter [Lovie]. [Abner] and his sister, [Lovie] love it when their grandmother visits because she spoils them. She is coming this week to watch them while their parents are out of town. [Ossie] went over to her son-in-law [Francis]'s house for dinner. [Francis] was making lobster, which [Ossie] loved.","('Alvia', 'Abner')",grandson
6,"[Phil] walked his daughter [Maria] down the aisle on her wedding day. [Maria] decided to give her uncle, [Vance], a call on his birthday. [Romeo] invited his brothers [Arlie] and [Vance] to play baskteball on Saturday at 4:00 p.m.","('Phil', 'Romeo')",brother
7,"[Price] took his son [Hollie] to the park to feed the squirrels. [Zora] enjoys playing cards with her brother. His name is [Hollie]. [Zora] went over to her uncle [Gus]'s house for dinner. [Cecelia] asked her mother, [Dolly], what they were going to have for lunch.","('Price', 'Gus')",brother
8,"[Smith] and his son [Asberry] were jumping rope. [Smith]'s sister, [Calla], was nearby drawing in a coloring book. [Asberry] bought gifts for his lovely sister, [Ettie] [Maggie] vowed to never trust her father, [Hoy] with her debit card again.","('Calla', 'Ettie')",neice
9,"[Art] was delighted by the Christmas present his granddaughter, [Avis], made him. [Anton] likes to visit his sister. Her name is [Avis]. [Ethyl] and her brother [Anton] were playing guitar together. [Aimee], [Ethyl]'s grandmother, watched from the other side of the room.","('Art', 'Ethyl')",granddaughter
10,"[Mabel]'s son [Gabriel] is turning nine today, so she is throwing him a party. [Alva] met his wife [Mabel] for dinner. [Alva]'s daughter [Rose] stayed home to study. [Ella] went shoe shopping with her sister [Elsie].","('Gabriel', 'Rose')",sister
11,"[Leila] and [Enoch] have been married for 35 years. [Rufus] and his wife, [Ellar], were fighting. [Rufus]'s mother, [Leila], decided to leave and let them work it out themselves. [Manuela] does not like her father-in-law, [Rutherford] because she feels like he is too controlling.","('Enoch', 'Ellar')",daughter-in-law
12,"[Stanton] and his wife [Maryann] went on vacation this week. [Maryann]'s brother [Otto] is looking after their dogs while her mother [Octavia] waters the plants. [Forest]'s mother, [Iola], was disappointed that he failed his math class","('Octavia', 'Stanton')",son-in-law
13,"[Ava]'s son, [Donald], was playing with his brother, [Humphrey]. [Ava]'s husband, [Omar], interrupted their play time. [Penelope] and her aunt, [Pattie], went to the bookstore. [Penelope] bought some fantasy books, while [Pattie] picked up some mysteries.","('Omar', 'Humphrey')",son
14,"[Merle] took his son [Justus] out for dinner with his wife [Annetta] for his birthday. [Justus] received a novel for Christmas from his aunt [Adah]. [Abraham] sat with his daughter, [Tressie], for ice cream at a local shop.","('Annetta', 'Adah')",sister
15,"[Bird] went to the store with her sister [Corine] [Mack] takes his grandson, [Dana] fishing all the time. [Dana]'s sister, [Bird] ca n't go until she is older [Eben] likes to visit his sister. Her name is [Hilma].","('Corine', 'Mack')",grandfather
16,"[Lissie] went with her grandmother, [Cecelia], to the grocery store to help her while she shopped. [Lissie] and her brother [Elwood] went to see a movie. [Grace] and her brother [Elwood] enlisted in the army [Irwin] bought to dress for his father [Bob]","('Cecelia', 'Grace')",granddaughter
17,"[Barnett] took his daughter [Sudie] to get some ice cream. [Sudie]'s brother [Emeline] was jealous. [Barnett] and [Manie] asked their mother, if they could go play in the pool. [Alf] took his grandson [Bruce] to the park on Saturday and they had a good time.","('Emeline', 'Manie')",aunt
