# CLUTRR

## CLUTRR with text-davinci-002

% python main.py --dataset clutrr --engine text-davinci-002
acc     correct total   file_name
100%|███████████████████████████████████████████████| 38/38 [00:00<00:00, 147.15it/s]
68.42   26      38      data/clutrr/data_7c5b0e70/1.2_test.csv
100%|█████████████████████████████████████████████| 108/108 [00:00<00:00, 141.71it/s]
61.11   66      108     data/clutrr/data_7c5b0e70/1.3_test.csv
100%|█████████████████████████████████████████████| 101/101 [00:00<00:00, 130.60it/s]
62.38   63      101     data/clutrr/data_7c5b0e70/2.3_test.csv
100%|█████████████████████████████████████████████| 100/100 [00:00<00:00, 135.07it/s]
66.00   66      100     data/clutrr/data_7c5b0e70/3.3_test.csv
100%|█████████████████████████████████████████████| 100/100 [00:00<00:00, 143.54it/s]
59.00   59      100     data/clutrr/data_7c5b0e70/4.3_test.csv
100%|███████████████████████████████████████████████| 38/38 [00:00<00:00, 142.54it/s]
92.11   35      38      data/clutrr/data_06b8f2a1/2.2_test.csv
100%|█████████████████████████████████████████████| 107/107 [00:00<00:00, 131.38it/s]
79.44   85      107     data/clutrr/data_06b8f2a1/2.3_test.csv
100%|███████████████████████████████████████████████| 38/38 [00:00<00:00, 143.06it/s]
92.11   35      38      data/clutrr/data_523348e6/3.2_test.csv
100%|█████████████████████████████████████████████| 105/105 [00:00<00:00, 131.70it/s]
64.76   68      105     data/clutrr/data_523348e6/3.3_test.csv
100%|███████████████████████████████████████████████| 38/38 [00:00<00:00, 146.51it/s]
60.53   23      38      data/clutrr/data_d83ecc3e/4.2_test.csv
100%|█████████████████████████████████████████████| 106/106 [00:00<00:00, 140.56it/s]
63.21   67      106     data/clutrr/data_d83ecc3e/4.3_test.csv
67.46   593     879     All

## CLUTRR with text-davinci-003

% python main.py --dataset clutrr --engine text-davinci-003
acc     correct total   file_name
100%|███████████████████████████████████████████████| 38/38 [00:00<00:00, 146.38it/s]
73.68   28      38      data/clutrr/data_7c5b0e70/1.2_test.csv
100%|█████████████████████████████████████████████| 108/108 [00:00<00:00, 140.08it/s]
66.67   72      108     data/clutrr/data_7c5b0e70/1.3_test.csv
100%|█████████████████████████████████████████████| 101/101 [00:00<00:00, 131.81it/s]
62.38   63      101     data/clutrr/data_7c5b0e70/2.3_test.csv
100%|█████████████████████████████████████████████| 100/100 [00:00<00:00, 128.96it/s]
71.00   71      100     data/clutrr/data_7c5b0e70/3.3_test.csv
100%|█████████████████████████████████████████████| 100/100 [00:00<00:00, 129.96it/s]
59.00   59      100     data/clutrr/data_7c5b0e70/4.3_test.csv
100%|███████████████████████████████████████████████| 38/38 [00:00<00:00, 139.99it/s]
92.11   35      38      data/clutrr/data_06b8f2a1/2.2_test.csv
100%|█████████████████████████████████████████████| 107/107 [00:00<00:00, 122.23it/s]
79.44   85      107     data/clutrr/data_06b8f2a1/2.3_test.csv
100%|███████████████████████████████████████████████| 38/38 [00:00<00:00, 141.76it/s]
94.74   36      38      data/clutrr/data_523348e6/3.2_test.csv
100%|█████████████████████████████████████████████| 105/105 [00:00<00:00, 126.93it/s]
67.62   71      105     data/clutrr/data_523348e6/3.3_test.csv
100%|███████████████████████████████████████████████| 38/38 [00:00<00:00, 137.56it/s]
57.89   22      38      data/clutrr/data_d83ecc3e/4.2_test.csv
100%|█████████████████████████████████████████████| 106/106 [00:00<00:00, 131.59it/s]
70.75   75      106     data/clutrr/data_d83ecc3e/4.3_test.csv
70.19   617     879     All


# CLUTRR 1.3

## CLUTRR 1.3 with text-davinci-003

% python main.py --dataset clutrr_1.3 --engine text-davinci-003
acc     correct total   file_name
100%|██████████████████████████████████████████| 100/100 [00:00<00:00, 150.90it/s]
97.00   97      100     data/clutrr_1.3/clean_100.csv
100%|██████████████████████████████████████████| 100/100 [00:00<00:00, 146.70it/s]
84.00   84      100     data/clutrr_1.3/supporting_100.csv
100%|██████████████████████████████████████████| 100/100 [00:00<00:00, 133.55it/s]
92.00   92      100     data/clutrr_1.3/irrelevant_100.csv
100%|██████████████████████████████████████████| 100/100 [00:00<00:00, 136.14it/s]
90.00   90      100     data/clutrr_1.3/disconnected_100.csv
90.75   363     400     All

## CLUTRR 1.3 (cleaned version) with text-davinci-003

% python main.py --dataset clutrr_1.3_clean --engine text-davinci-003
acc     correct total   file_name
100%|██████████████████████████████████████████| 100/100 [00:00<00:00, 150.89it/s]
97.00   97      100     data/clutrr_1.3_clean/clean_100.csv
100%|████████████████████████████████████████████| 91/91 [00:00<00:00, 151.09it/s]
92.31   84      91      data/clutrr_1.3_clean/supporting_91.csv
100%|████████████████████████████████████████████| 95/95 [00:00<00:00, 145.63it/s]
96.84   92      95      data/clutrr_1.3_clean/irrelevant_95.csv
100%|████████████████████████████████████████████| 98/98 [00:00<00:00, 146.97it/s]
91.84   90      98      data/clutrr_1.3_clean/disconnected_98.csv
94.53   363     384     All

# CLUTRR-S

## CLUTRR-S with text-davinci-002

% python main.py --dataset clutrr_s --engine text-davinci-002
acc     correct total   file_name
100%|███████████████████████████████████████████████████████| 15/15 [00:00<00:00, 127.11it/s]
100.00  15      15      data/clutrr_s/deepproblog_data_2d5007e7/1.2_test.csv
100%|███████████████████████████████████████████████████████| 16/16 [00:00<00:00, 137.65it/s]
100.00  16      16      data/clutrr_s/deepproblog_data_2d5007e7/1.3_test.csv
100%|█████████████████████████████████████████████████████| 157/157 [00:01<00:00, 142.73it/s]
95.54   150     157     data/clutrr_s/deepproblog_data_2d5007e7/2.3_test.csv
100%|█████████████████████████████████████████████████████| 152/152 [00:01<00:00, 150.33it/s]
99.34   151     152     data/clutrr_s/deepproblog_data_2d5007e7/3.3_test.csv
100%|█████████████████████████████████████████████████████| 131/131 [00:00<00:00, 153.60it/s]
97.71   128     131     data/clutrr_s/deepproblog_data_2d5007e7/4.3_test.csv
100%|███████████████████████████████████████████████████████| 15/15 [00:00<00:00, 153.10it/s]
100.00  15      15      data/clutrr_s/deepproblog_data_a7d9402e/2.2_test.csv
100%|███████████████████████████████████████████████████████| 16/16 [00:00<00:00, 137.14it/s]
100.00  16      16      data/clutrr_s/deepproblog_data_a7d9402e/2.3_test.csv
100%|███████████████████████████████████████████████████████| 15/15 [00:00<00:00, 155.57it/s]
93.33   14      15      data/clutrr_s/deepproblog_data_6b1c2f15/3.2_test.csv
100%|███████████████████████████████████████████████████████| 16/16 [00:00<00:00, 139.11it/s]
100.00  16      16      data/clutrr_s/deepproblog_data_6b1c2f15/3.3_test.csv
100%|███████████████████████████████████████████████████████| 14/14 [00:00<00:00, 153.41it/s]
92.86   13      14      data/clutrr_s/deepproblog_data_47b0ffea/4.2_test.csv
100%|███████████████████████████████████████████████████████| 16/16 [00:00<00:00, 151.81it/s]
100.00  16      16      data/clutrr_s/deepproblog_data_47b0ffea/4.3_test.csv
97.69   550     563     All

## CLUTRR-S with text-davinci-003

% python main.py --dataset clutrr_s --engine text-davinci-003
acc     correct total   file_name
100%|███████████████████████████████████████████████████████| 15/15 [00:00<00:00, 148.81it/s]
100.00  15      15      data/clutrr_s/deepproblog_data_2d5007e7/1.2_test.csv
100%|███████████████████████████████████████████████████████| 16/16 [00:00<00:00, 142.01it/s]
100.00  16      16      data/clutrr_s/deepproblog_data_2d5007e7/1.3_test.csv
100%|█████████████████████████████████████████████████████| 157/157 [00:01<00:00, 142.72it/s]
99.36   156     157     data/clutrr_s/deepproblog_data_2d5007e7/2.3_test.csv
100%|█████████████████████████████████████████████████████| 152/152 [00:01<00:00, 146.36it/s]
100.00  152     152     data/clutrr_s/deepproblog_data_2d5007e7/3.3_test.csv
