%*
QUERY:
    pull,a,small,square
TARGET: 
    turn_right,walk,walk,walk,walk,walk
COMMAND:
    clingo gscan.txt action_ec.txt ex19.txt
ANSWER SET:
    
COMMENT:
*%



%********************
* problem instance
*********************%

query(pull). queryDesc(small). queryDesc(square).

gridSize(6).
pos(agent, (0,3)).
dir(agent, east).

pos(0, (5,3)).
shape(0, square).
color(0, yellow).
size(0, 1).

pos(1, (3,0)).
shape(1, square).
color(1, yellow).
size(1, 2).

pos(2, (4,4)).
shape(2, square).
color(2, green).
size(2, 3).

pos(3, (5,2)).
shape(3, square).
color(3, green).
size(3, 3).

pos(4, (4,3)).
shape(4, circle).
color(4, green).
size(4, 1).

pos(5, (0,5)).
shape(5, circle).
color(5, green).
size(5, 4).

pos(6, (1,3)).
shape(6, cylinder).
color(6, green).
size(6, 3).

pos(7, (3,1)).
shape(7, cylinder).
color(7, green).
size(7, 2).

pos(8, (2,0)).
shape(8, circle).
color(8, blue).
size(8, 4).

pos(9, (2,1)).
shape(9, circle).
color(9, blue).
size(9, 1).

pos(10, (5,0)).
shape(10, square).
color(10, red).
size(10, 3).

pos(11, (0,1)).
shape(11, square).
color(11, red).
size(11, 3).
