	init state	goal state	short plans	long plan	number of bowls/stacks	number of blocks	number of steps	init state(ASP)	goal state(ASP)
0	"The red block is on the table.
The blue block is on the red block.
The indigo block is on the table.
The violet block is on the table."	"The red block is on the table.
The indigo block is on the red block.
The violet block is on the indigo block.
The blue block is on the table."	"1. Move the blue block onto the table.
2. Move the indigo block onto the red block.
3. Move the violet block onto the indigo block."	"Plan:
1. Move the blue block onto the table.

# State:
The red block is on the table.
The blue block is on the table.
The indigo block is on the table.
The violet block is on the table.
Nothing is on the red bowl.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

2. Move the indigo block onto the red block.

# State:
The red block is on the table.
The blue block is on the table.
The indigo block is on the red block.
The violet block is on the table.
Nothing is on the red bowl.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

3. Move the violet block onto the indigo block.

# State:
The red block is on the table.
The blue block is on the table.
The indigo block is on the red block.
The violet block is on the indigo block.
Nothing is on the red bowl.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

4. Done"	3	4	3	"on(""red block"", table).
on(""blue block"", ""red block"").
on(""indigo block"", table).
on(""violet block"", table).
"	"on(""red block"", table).
on(""indigo block"", ""red block"").
on(""violet block"", ""indigo block"").
on(""blue block"", table).
"
1	"The green block is on the table.
The orange block is on the green block.
The blue block is on the table.
The indigo block is on the blue block."	"The green block is on the table.
The blue block is on the table.
The orange block is on the blue block.
The indigo block is on the orange block."	"1. Move the indigo block onto the table.
2. Move the orange block onto the blue block.
3. Move the indigo block onto the orange block."	"Plan:
1. Move the indigo block onto the table.

# State:
The orange block is on the green block.
The green block is on the table.
The blue block is on the table.
The indigo block is on the table.
Nothing is on the orange bowl.
Nothing is on the indigo bowl.

2. Move the orange block onto the blue block.

# State:
The orange block is on the blue block.
The green block is on the table.
The blue block is on the table.
The indigo block is on the table.
Nothing is on the orange bowl.
Nothing is on the indigo bowl.

3. Move the indigo block onto the orange block.

# State:
The orange block is on the blue block.
The green block is on the table.
The blue block is on the table.
The indigo block is on the orange block.
Nothing is on the orange bowl.
Nothing is on the indigo bowl.

4. Done"	2	4	3	"on(""green block"", table).
on(""orange block"", ""green block"").
on(""blue block"", table).
on(""indigo block"", ""blue block"").
"	"on(""green block"", table).
on(""blue block"", table).
on(""orange block"", ""blue block"").
on(""indigo block"", ""orange block"").
"
2	"The yellow block is on the table.
The red block is on the yellow block.
The violet block is on the table.
The indigo block is on the violet block."	"The red block is on the table.
The violet block is on the table.
The yellow block is on the violet block.
The indigo block is on the yellow block."	"1. Move the red block onto the table.
2. Move the indigo block onto the red block.
3. Move the yellow block onto the violet block.
4. Move the indigo block onto the yellow block.

1. Move the red block onto the table.
2. Move the indigo block onto the table.
3. Move the yellow block onto the violet block.
4. Move the indigo block onto the yellow block.

1. Move the indigo block onto the table.
2. Move the red block onto the table.
3. Move the yellow block onto the violet block.
4. Move the indigo block onto the yellow block."	"Plan:
1. Move the red block onto the table.

# State:
The red block is on the table.
The yellow block is on the table.
The indigo block is on the violet block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

2. Move the indigo block onto the red block.

# State:
The red block is on the table.
The yellow block is on the table.
The indigo block is on the red block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

3. Move the yellow block onto the violet block.

# State:
The red block is on the table.
The yellow block is on the violet block.
The indigo block is on the red block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

4. Move the indigo block onto the yellow block.

# State:
The red block is on the table.
The yellow block is on the violet block.
The indigo block is on the yellow block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

5. Done"	2	4	4	"on(""yellow block"", table).
on(""red block"", ""yellow block"").
on(""violet block"", table).
on(""indigo block"", ""violet block"").
"	"on(""red block"", table).
on(""violet block"", table).
on(""yellow block"", ""violet block"").
on(""indigo block"", ""yellow block"").
"
3	"The red block is on the table.
The indigo block is on the red block.
The orange block is on the table.
The violet block is on the orange block."	"The orange block is on the table.
The red block is on the orange block.
The indigo block is on the red block.
The violet block is on the table."	"1. Move the indigo block onto the table.
2. Move the violet block onto the table.
3. Move the red block onto the orange block.
4. Move the indigo block onto the red block.

1. Move the violet block onto the table.
2. Move the indigo block onto the table.
3. Move the red block onto the orange block.
4. Move the indigo block onto the red block.

1. Move the violet block onto the table.
2. Move the indigo block onto the violet block.
3. Move the red block onto the orange block.
4. Move the indigo block onto the red block."	"Plan:
1. Move the indigo block onto the table.

# State:
The red block is on the table.
The orange block is on the table.
The indigo block is on the table.
The violet block is on the orange block.
Nothing is on the orange bowl.
Nothing is on the red bowl.
Nothing is on the violet bowl.

2. Move the violet block onto the table.

# State:
The red block is on the table.
The orange block is on the table.
The indigo block is on the table.
The violet block is on the table.
Nothing is on the orange bowl.
Nothing is on the red bowl.
Nothing is on the violet bowl.

3. Move the red block onto the orange block.

# State:
The red block is on the orange block.
The orange block is on the table.
The indigo block is on the table.
The violet block is on the table.
Nothing is on the orange bowl.
Nothing is on the red bowl.
Nothing is on the violet bowl.

4. Move the indigo block onto the red block.

# State:
The red block is on the orange block.
The orange block is on the table.
The indigo block is on the red block.
The violet block is on the table.
Nothing is on the orange bowl.
Nothing is on the red bowl.
Nothing is on the violet bowl.

5. Done"	3	4	4	"on(""red block"", table).
on(""indigo block"", ""red block"").
on(""orange block"", table).
on(""violet block"", ""orange block"").
"	"on(""orange block"", table).
on(""red block"", ""orange block"").
on(""indigo block"", ""red block"").
on(""violet block"", table).
"
4	"The red block is on the table.
The green block is on the red block.
The yellow block is on the table.
The blue block is on the yellow block.
The orange block is on the blue block."	"The red block is on the table.
The blue block is on the red block.
The orange block is on the blue block.
The yellow block is on the table.
The green block is on the yellow block."	"1. Move the orange block onto the table.
2. Move the blue block onto the orange block.
3. Move the green block onto the yellow block.
4. Move the blue block onto the red block.
5. Move the orange block onto the blue block.

1. Move the orange block onto the table.
2. Move the blue block onto the table.
3. Move the green block onto the yellow block.
4. Move the blue block onto the red block.
5. Move the orange block onto the blue block.

1. Move the orange block onto the table.
2. Move the green block onto the table.
3. Move the blue block onto the red block.
4. Move the orange block onto the blue block.
5. Move the green block onto the yellow block.

1. Move the green block onto the table.
2. Move the orange block onto the green block.
3. Move the blue block onto the red block.
4. Move the orange block onto the blue block.
5. Move the green block onto the yellow block.

1. Move the green block onto the table.
2. Move the orange block onto the table.
3. Move the blue block onto the red block.
4. Move the orange block onto the blue block.
5. Move the green block onto the yellow block.

1. Move the orange block onto the table.
2. Move the green block onto the orange block.
3. Move the blue block onto the red block.
4. Move the green block onto the yellow block.
5. Move the orange block onto the blue block.

1. Move the orange block onto the table.
2. Move the green block onto the table.
3. Move the blue block onto the red block.
4. Move the green block onto the yellow block.
5. Move the orange block onto the blue block.

1. Move the green block onto the table.
2. Move the orange block onto the table.
3. Move the blue block onto the red block.
4. Move the green block onto the yellow block.
5. Move the orange block onto the blue block."	"Plan:
1. Move the orange block onto the table.

# State:
The red block is on the table.
The orange block is on the table.
The yellow block is on the table.
The green block is on the red block.
The blue block is on the yellow block.
Nothing is on the blue bowl.
Nothing is on the green bowl.

2. Move the blue block onto the orange block.

# State:
The red block is on the table.
The orange block is on the table.
The yellow block is on the table.
The green block is on the red block.
The blue block is on the orange block.
Nothing is on the blue bowl.
Nothing is on the green bowl.

3. Move the green block onto the yellow block.

# State:
The red block is on the table.
The orange block is on the table.
The yellow block is on the table.
The green block is on the yellow block.
The blue block is on the orange block.
Nothing is on the blue bowl.
Nothing is on the green bowl.

4. Move the blue block onto the red block.

# State:
The red block is on the table.
The orange block is on the table.
The yellow block is on the table.
The green block is on the yellow block.
The blue block is on the red block.
Nothing is on the blue bowl.
Nothing is on the green bowl.

5. Move the orange block onto the blue block.

# State:
The red block is on the table.
The orange block is on the blue block.
The yellow block is on the table.
The green block is on the yellow block.
The blue block is on the red block.
Nothing is on the blue bowl.
Nothing is on the green bowl.

6. Done"	2	5	5	"on(""red block"", table).
on(""green block"", ""red block"").
on(""yellow block"", table).
on(""blue block"", ""yellow block"").
on(""orange block"", ""blue block"").
"	"on(""red block"", table).
on(""blue block"", ""red block"").
on(""orange block"", ""blue block"").
on(""yellow block"", table).
on(""green block"", ""yellow block"").
"
5	"The blue block is on the table.
The indigo block is on the blue block.
The violet block is on the table.
The yellow block is on the violet block.
The red block is on the yellow block."	"The blue block is on the table.
The yellow block is on the blue block.
The red block is on the yellow block.
The indigo block is on the red block.
The violet block is on the table."	"1. Move the red block onto the table.
2. Move the indigo block onto the table.
3. Move the yellow block onto the blue block.
4. Move the red block onto the yellow block.
5. Move the indigo block onto the red block.

1. Move the indigo block onto the table.
2. Move the red block onto the table.
3. Move the yellow block onto the blue block.
4. Move the red block onto the yellow block.
5. Move the indigo block onto the red block.

1. Move the indigo block onto the table.
2. Move the red block onto the indigo block.
3. Move the yellow block onto the blue block.
4. Move the red block onto the yellow block.
5. Move the indigo block onto the red block."	"Plan:
1. Move the red block onto the table.

# State:
The red block is on the table.
The yellow block is on the violet block.
The blue block is on the table.
The indigo block is on the blue block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

2. Move the indigo block onto the table.

# State:
The red block is on the table.
The yellow block is on the violet block.
The blue block is on the table.
The indigo block is on the table.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

3. Move the yellow block onto the blue block.

# State:
The red block is on the table.
The yellow block is on the blue block.
The blue block is on the table.
The indigo block is on the table.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

4. Move the red block onto the yellow block.

# State:
The red block is on the yellow block.
The yellow block is on the blue block.
The blue block is on the table.
The indigo block is on the table.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

5. Move the indigo block onto the red block.

# State:
The red block is on the yellow block.
The yellow block is on the blue block.
The blue block is on the table.
The indigo block is on the red block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the indigo bowl.

6. Done"	2	5	5	"on(""blue block"", table).
on(""indigo block"", ""blue block"").
on(""violet block"", table).
on(""yellow block"", ""violet block"").
on(""red block"", ""yellow block"").
"	"on(""blue block"", table).
on(""yellow block"", ""blue block"").
on(""red block"", ""yellow block"").
on(""indigo block"", ""red block"").
on(""violet block"", table).
"
6	"The orange block is on the table.
The blue block is on the orange block.
The green block is on the table.
The indigo block is on the green block.
The red block is on the indigo block.
The violet block is on the table."	"The green block is on the table.
The blue block is on the table.
The violet block is on the table.
The orange block is on the violet block.
The indigo block is on the orange block.
The red block is on the indigo block."	"1. Move the blue block onto the table.
2. Move the orange block onto the violet block.
3. Move the red block onto the blue block.
4. Move the indigo block onto the orange block.
5. Move the red block onto the indigo block.

1. Move the blue block onto the table.
2. Move the orange block onto the violet block.
3. Move the red block onto the table.
4. Move the indigo block onto the orange block.
5. Move the red block onto the indigo block.

1. Move the blue block onto the table.
2. Move the red block onto the table.
3. Move the orange block onto the violet block.
4. Move the indigo block onto the orange block.
5. Move the red block onto the indigo block.

1. Move the red block onto the table.
2. Move the blue block onto the table.
3. Move the orange block onto the violet block.
4. Move the indigo block onto the orange block.
5. Move the red block onto the indigo block.

1. Move the blue block onto the table.
2. Move the red block onto the blue block.
3. Move the orange block onto the violet block.
4. Move the indigo block onto the orange block.
5. Move the red block onto the indigo block."	"Plan:
1. Move the blue block onto the table.

# State:
The red block is on the indigo block.
The orange block is on the table.
The green block is on the table.
The blue block is on the table.
The indigo block is on the green block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the blue bowl.
Nothing is on the red bowl.

2. Move the orange block onto the violet block.

# State:
The red block is on the indigo block.
The orange block is on the violet block.
The green block is on the table.
The blue block is on the table.
The indigo block is on the green block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the blue bowl.
Nothing is on the red bowl.

3. Move the red block onto the blue block.

# State:
The red block is on the blue block.
The orange block is on the violet block.
The green block is on the table.
The blue block is on the table.
The indigo block is on the green block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the blue bowl.
Nothing is on the red bowl.

4. Move the indigo block onto the orange block.

# State:
The red block is on the blue block.
The orange block is on the violet block.
The green block is on the table.
The blue block is on the table.
The indigo block is on the orange block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the blue bowl.
Nothing is on the red bowl.

5. Move the red block onto the indigo block.

# State:
The red block is on the indigo block.
The orange block is on the violet block.
The green block is on the table.
The blue block is on the table.
The indigo block is on the orange block.
The violet block is on the table.
Nothing is on the violet bowl.
Nothing is on the blue bowl.
Nothing is on the red bowl.

6. Done"	3	6	5	"on(""orange block"", table).
on(""blue block"", ""orange block"").
on(""green block"", table).
on(""indigo block"", ""green block"").
on(""red block"", ""indigo block"").
on(""violet block"", table).
"	"on(""green block"", table).
on(""blue block"", table).
on(""violet block"", table).
on(""orange block"", ""violet block"").
on(""indigo block"", ""orange block"").
on(""red block"", ""indigo block"").
"
7	"The red block is on the table.
The green block is on the table.
The orange block is on the green block.
The yellow block is on the orange block.
The violet block is on the table.
The blue block is on the violet block."	"The orange block is on the table.
The red block is on the orange block.
The green block is on the table.
The violet block is on the green block.
The blue block is on the table.
The yellow block is on the blue block."	"1. Move the blue block onto the table.
2. Move the yellow block onto the blue block.
3. Move the orange block onto the table.
4. Move the violet block onto the green block.
5. Move the red block onto the orange block.

1. Move the blue block onto the table.
2. Move the yellow block onto the blue block.
3. Move the orange block onto the table.
4. Move the red block onto the orange block.
5. Move the violet block onto the green block."	"Plan:
1. Move the blue block onto the table.

# State:
The red block is on the table.
The orange block is on the green block.
The yellow block is on the orange block.
The green block is on the table.
The blue block is on the table.
The violet block is on the table.
Nothing is on the blue bowl.
Nothing is on the violet bowl.
Nothing is on the orange bowl.

2. Move the yellow block onto the blue block.

# State:
The red block is on the table.
The orange block is on the green block.
The yellow block is on the blue block.
The green block is on the table.
The blue block is on the table.
The violet block is on the table.
Nothing is on the blue bowl.
Nothing is on the violet bowl.
Nothing is on the orange bowl.

3. Move the orange block onto the table.

# State:
The red block is on the table.
The orange block is on the table.
The yellow block is on the blue block.
The green block is on the table.
The blue block is on the table.
The violet block is on the table.
Nothing is on the blue bowl.
Nothing is on the violet bowl.
Nothing is on the orange bowl.

4. Move the violet block onto the green block.

# State:
The red block is on the table.
The orange block is on the table.
The yellow block is on the blue block.
The green block is on the table.
The blue block is on the table.
The violet block is on the green block.
Nothing is on the blue bowl.
Nothing is on the violet bowl.
Nothing is on the orange bowl.

5. Move the red block onto the orange block.

# State:
The red block is on the orange block.
The orange block is on the table.
The yellow block is on the blue block.
The green block is on the table.
The blue block is on the table.
The violet block is on the green block.
Nothing is on the blue bowl.
Nothing is on the violet bowl.
Nothing is on the orange bowl.

6. Done"	3	6	5	"on(""red block"", table).
on(""green block"", table).
on(""orange block"", ""green block"").
on(""yellow block"", ""orange block"").
on(""violet block"", table).
on(""blue block"", ""violet block"").
"	"on(""orange block"", table).
on(""red block"", ""orange block"").
on(""green block"", table).
on(""violet block"", ""green block"").
on(""blue block"", table).
on(""yellow block"", ""blue block"").
"
8	"The orange block is on the table.
The yellow block is on the orange block.
The green block is on the table.
The indigo block is on the table.
The violet block is on the indigo block.
The red block is on the violet block."	"The orange block is on the table.
The green block is on the orange block.
The indigo block is on the green block.
The yellow block is on the table.
The red block is on the yellow block.
The violet block is on the table."	"1. Move the yellow block onto the table.
2. Move the red block onto the yellow block.
3. Move the violet block onto the table.
4. Move the green block onto the orange block.
5. Move the indigo block onto the green block.

1. Move the yellow block onto the table.
2. Move the red block onto the yellow block.
3. Move the green block onto the orange block.
4. Move the violet block onto the table.
5. Move the indigo block onto the green block.

1. Move the yellow block onto the table.
2. Move the green block onto the orange block.
3. Move the red block onto the yellow block.
4. Move the violet block onto the table.
5. Move the indigo block onto the green block."	"Plan:
1. Move the yellow block onto the table.

# State:
The red block is on the violet block.
The orange block is on the table.
The yellow block is on the table.
The green block is on the table.
The indigo block is on the table.
The violet block is on the indigo block.
Nothing is on the yellow bowl.
Nothing is on the indigo bowl.
Nothing is on the green bowl.

2. Move the red block onto the yellow block.

# State:
The red block is on the yellow block.
The orange block is on the table.
The yellow block is on the table.
The green block is on the table.
The indigo block is on the table.
The violet block is on the indigo block.
Nothing is on the yellow bowl.
Nothing is on the indigo bowl.
Nothing is on the green bowl.

3. Move the violet block onto the table.

# State:
The red block is on the yellow block.
The orange block is on the table.
The yellow block is on the table.
The green block is on the table.
The indigo block is on the table.
The violet block is on the table.
Nothing is on the yellow bowl.
Nothing is on the indigo bowl.
Nothing is on the green bowl.

4. Move the green block onto the orange block.

# State:
The red block is on the yellow block.
The orange block is on the table.
The yellow block is on the table.
The green block is on the orange block.
The indigo block is on the table.
The violet block is on the table.
Nothing is on the yellow bowl.
Nothing is on the indigo bowl.
Nothing is on the green bowl.

5. Move the indigo block onto the green block.

# State:
The red block is on the yellow block.
The orange block is on the table.
The yellow block is on the table.
The green block is on the orange block.
The indigo block is on the green block.
The violet block is on the table.
Nothing is on the yellow bowl.
Nothing is on the indigo bowl.
Nothing is on the green bowl.

6. Done"	3	6	5	"on(""orange block"", table).
on(""yellow block"", ""orange block"").
on(""green block"", table).
on(""indigo block"", table).
on(""violet block"", ""indigo block"").
on(""red block"", ""violet block"").
"	"on(""orange block"", table).
on(""green block"", ""orange block"").
on(""indigo block"", ""green block"").
on(""yellow block"", table).
on(""red block"", ""yellow block"").
on(""violet block"", table).
"
9	"The indigo block is on the table.
The yellow block is on the indigo block.
The orange block is on the yellow block.
The red block is on the orange block."	"The yellow block is on the table.
The orange block is on the yellow block.
The red block is on the orange block.
The indigo block is on the table."	"1. Move the red block onto the table.
2. Move the orange block onto the table.
3. Move the yellow block onto the table.
4. Move the orange block onto the yellow block.
5. Move the red block onto the orange block.

1. Move the red block onto the table.
2. Move the orange block onto the red block.
3. Move the yellow block onto the table.
4. Move the orange block onto the yellow block.
5. Move the red block onto the orange block."	"Plan:
1. Move the red block onto the table.

# State:
The red block is on the table.
The orange block is on the yellow block.
The yellow block is on the indigo block.
The indigo block is on the table.
Nothing is on the yellow bowl.
Nothing is on the red bowl.

2. Move the orange block onto the table.

# State:
The red block is on the table.
The orange block is on the table.
The yellow block is on the indigo block.
The indigo block is on the table.
Nothing is on the yellow bowl.
Nothing is on the red bowl.

3. Move the yellow block onto the table.

# State:
The red block is on the table.
The orange block is on the table.
The yellow block is on the table.
The indigo block is on the table.
Nothing is on the yellow bowl.
Nothing is on the red bowl.

4. Move the orange block onto the yellow block.

# State:
The red block is on the table.
The orange block is on the yellow block.
The yellow block is on the table.
The indigo block is on the table.
Nothing is on the yellow bowl.
Nothing is on the red bowl.

5. Move the red block onto the orange block.

# State:
The red block is on the orange block.
The orange block is on the yellow block.
The yellow block is on the table.
The indigo block is on the table.
Nothing is on the yellow bowl.
Nothing is on the red bowl.

6. Done"	2	4	5	"on(""indigo block"", table).
on(""yellow block"", ""indigo block"").
on(""orange block"", ""yellow block"").
on(""red block"", ""orange block"").
"	"on(""yellow block"", table).
on(""orange block"", ""yellow block"").
on(""red block"", ""orange block"").
on(""indigo block"", table).
"
10	"The orange block is on the table.
The blue block is on the orange block.
The red block is on the blue block.
The indigo block is on the red block.
The green block is on the table.
The violet block is on the green block.
The yellow block is on the violet block."	"The orange block is on the table.
The blue block is on the orange block.
The red block is on the blue block.
The indigo block is on the table.
The green block is on the indigo block.
The violet block is on the green block.
The yellow block is on the violet block."	"1. Move the indigo block onto the table.
2. Move the yellow block onto the table.
3. Move the violet block onto the yellow block.
4. Move the green block onto the indigo block.
5. Move the violet block onto the green block.
6. Move the yellow block onto the violet block.

1. Move the indigo block onto the table.
2. Move the yellow block onto the red block.
3. Move the violet block onto the yellow block.
4. Move the green block onto the indigo block.
5. Move the violet block onto the green block.
6. Move the yellow block onto the violet block.

1. Move the indigo block onto the table.
2. Move the yellow block onto the table.
3. Move the violet block onto the table.
4. Move the green block onto the indigo block.
5. Move the violet block onto the green block.
6. Move the yellow block onto the violet block.

1. Move the indigo block onto the table.
2. Move the yellow block onto the red block.
3. Move the violet block onto the table.
4. Move the green block onto the indigo block.
5. Move the violet block onto the green block.
6. Move the yellow block onto the violet block.

1. Move the yellow block onto the table.
2. Move the indigo block onto the table.
3. Move the violet block onto the table.
4. Move the green block onto the indigo block.
5. Move the violet block onto the green block.
6. Move the yellow block onto the violet block.

1. Move the indigo block onto the table.
2. Move the yellow block onto the table.
3. Move the violet block onto the red block.
4. Move the green block onto the indigo block.
5. Move the violet block onto the green block.
6. Move the yellow block onto the violet block.

1. Move the yellow block onto the table.
2. Move the violet block onto the yellow block.
3. Move the indigo block onto the table.
4. Move the green block onto the indigo block.
5. Move the violet block onto the green block.
6. Move the yellow block onto the violet block.

1. Move the yellow block onto the table.
2. Move the indigo block onto the table.
3. Move the violet block onto the yellow block.
4. Move the green block onto the indigo block.
5. Move the violet block onto the green block.
6. Move the yellow block onto the violet block.

1. Move the yellow block onto the table.
2. Move the violet block onto the table.
3. Move the indigo block onto the table.
4. Move the green block onto the indigo block.
5. Move the violet block onto the green block.
6. Move the yellow block onto the violet block.

1. Move the yellow block onto the table.
2. Move the indigo block onto the table.
3. Move the violet block onto the red block.
4. Move the green block onto the indigo block.
5. Move the violet block onto the green block.
6. Move the yellow block onto the violet block."	"Plan:
1. Move the indigo block onto the table.

# State:
The red block is on the blue block.
The orange block is on the table.
The yellow block is on the violet block.
The green block is on the table.
The blue block is on the orange block.
The indigo block is on the table.
The violet block is on the green block.
Nothing is on the green bowl.
Nothing is on the red bowl.

2. Move the yellow block onto the table.

# State:
The red block is on the blue block.
The orange block is on the table.
The yellow block is on the table.
The green block is on the table.
The blue block is on the orange block.
The indigo block is on the table.
The violet block is on the green block.
Nothing is on the green bowl.
Nothing is on the red bowl.

3. Move the violet block onto the yellow block.

# State:
The red block is on the blue block.
The orange block is on the table.
The yellow block is on the table.
The green block is on the table.
The blue block is on the orange block.
The indigo block is on the table.
The violet block is on the yellow block.
Nothing is on the green bowl.
Nothing is on the red bowl.

4. Move the green block onto the indigo block.

# State:
The red block is on the blue block.
The orange block is on the table.
The yellow block is on the table.
The green block is on the indigo block.
The blue block is on the orange block.
The indigo block is on the table.
The violet block is on the yellow block.
Nothing is on the green bowl.
Nothing is on the red bowl.

5. Move the violet block onto the green block.

# State:
The red block is on the blue block.
The orange block is on the table.
The yellow block is on the table.
The green block is on the indigo block.
The blue block is on the orange block.
The indigo block is on the table.
The violet block is on the green block.
Nothing is on the green bowl.
Nothing is on the red bowl.

6. Move the yellow block onto the violet block.

# State:
The red block is on the blue block.
The orange block is on the table.
The yellow block is on the violet block.
The green block is on the indigo block.
The blue block is on the orange block.
The indigo block is on the table.
The violet block is on the green block.
Nothing is on the green bowl.
Nothing is on the red bowl.

7. Done"	2	7	6	"on(""orange block"", table).
on(""blue block"", ""orange block"").
on(""red block"", ""blue block"").
on(""indigo block"", ""red block"").
on(""green block"", table).
on(""violet block"", ""green block"").
on(""yellow block"", ""violet block"").
"	"on(""orange block"", table).
on(""blue block"", ""orange block"").
on(""red block"", ""blue block"").
on(""indigo block"", table).
on(""green block"", ""indigo block"").
on(""violet block"", ""green block"").
on(""yellow block"", ""violet block"").
"
11	"The red block is on the table.
The orange block is on the red block.
The indigo block is on the table.
The violet block is on the indigo block.
The yellow block is on the violet block."	"The orange block is on the table.
The indigo block is on the table.
The red block is on the indigo block.
The violet block is on the red block.
The yellow block is on the violet block."	"1. Move the yellow block onto the table.
2. Move the orange block onto the table.
3. Move the violet block onto the yellow block.
4. Move the red block onto the indigo block.
5. Move the violet block onto the red block.
6. Move the yellow block onto the violet block.

1. Move the orange block onto the table.
2. Move the yellow block onto the table.
3. Move the violet block onto the yellow block.
4. Move the red block onto the indigo block.
5. Move the violet block onto the red block.
6. Move the yellow block onto the violet block.

1. Move the orange block onto the table.
2. Move the yellow block onto the orange block.
3. Move the violet block onto the yellow block.
4. Move the red block onto the indigo block.
5. Move the violet block onto the red block.
6. Move the yellow block onto the violet block.

1. Move the yellow block onto the table.
2. Move the violet block onto the yellow block.
3. Move the orange block onto the table.
4. Move the red block onto the indigo block.
5. Move the violet block onto the red block.
6. Move the yellow block onto the violet block.

1. Move the orange block onto the table.
2. Move the yellow block onto the orange block.
3. Move the violet block onto the table.
4. Move the red block onto the indigo block.
5. Move the violet block onto the red block.
6. Move the yellow block onto the violet block.

1. Move the yellow block onto the table.
2. Move the violet block onto the table.
3. Move the orange block onto the table.
4. Move the red block onto the indigo block.
5. Move the violet block onto the red block.
6. Move the yellow block onto the violet block.

1. Move the orange block onto the table.
2. Move the yellow block onto the table.
3. Move the violet block onto the orange block.
4. Move the red block onto the indigo block.
5. Move the violet block onto the red block.
6. Move the yellow block onto the violet block.

1. Move the yellow block onto the table.
2. Move the orange block onto the table.
3. Move the violet block onto the orange block.
4. Move the red block onto the indigo block.
5. Move the violet block onto the red block.
6. Move the yellow block onto the violet block.

1. Move the orange block onto the table.
2. Move the yellow block onto the table.
3. Move the violet block onto the table.
4. Move the red block onto the indigo block.
5. Move the violet block onto the red block.
6. Move the yellow block onto the violet block.

1. Move the yellow block onto the table.
2. Move the orange block onto the table.
3. Move the violet block onto the table.
4. Move the red block onto the indigo block.
5. Move the violet block onto the red block.
6. Move the yellow block onto the violet block."	"Plan:
1. Move the yellow block onto the table.

# State:
The red block is on the table.
The orange block is on the red block.
